Time,DistrictCode,TypeCode,Popularity
2018-01-14-01,1,1,21
2018-01-14-02,1,1,16
2018-01-14-03,1,1,19
2018-01-14-04,1,1,19
2018-01-14-05,1,1,21
2018-01-14-06,1,1,18
2018-01-14-07,1,1,22
2018-01-14-08,1,1,19
2018-01-14-09,1,1,25
2018-01-14-10,1,1,21
2018-01-14-11,1,1,16
2018-01-14-12,1,1,14
2018-01-14-13,1,1,13
2018-01-14-14,1,1,8
2018-01-14-15,1,1,8
2018-01-14-16,1,1,5
2018-01-14-17,1,1,6
2018-01-14-18,1,1,8
2018-01-14-19,1,1,11
2018-01-14-20,1,1,16
2018-01-14-21,1,1,21
2018-01-14-22,1,1,22
2018-01-14-23,1,1,18
2018-01-15-00,1,1,18
2018-01-15-01,1,1,18
2018-01-15-02,1,1,22
2018-01-15-03,1,1,19
2018-01-15-04,1,1,18
2018-01-15-05,1,1,14
2018-01-15-06,1,1,17
2018-01-15-07,1,1,26
2018-01-15-08,1,1,26
2018-01-15-09,1,1,26
2018-01-15-10,1,1,20
2018-01-15-11,1,1,19
2018-01-15-12,1,1,19
2018-01-15-13,1,1,14
2018-01-15-14,1,1,8
2018-01-15-15,1,1,6
2018-01-15-16,1,1,3
2018-01-15-17,1,1,5
2018-01-15-18,1,1,11
2018-01-15-19,1,1,13
2018-01-15-20,1,1,16
2018-01-15-21,1,1,18
2018-01-15-22,1,1,18
2018-01-15-23,1,1,19
2018-01-16-00,1,1,18
2018-01-16-01,1,1,22
2018-01-16-02,1,1,17
2018-01-16-03,1,1,17
2018-01-16-04,1,1,20
2018-01-16-05,1,1,21
2018-01-16-06,1,1,26
2018-01-16-07,1,1,29
2018-01-16-08,1,1,28
2018-01-16-09,1,1,37
2018-01-16-10,1,1,29
2018-01-16-11,1,1,34
2018-01-16-12,1,1,28
2018-01-16-13,1,1,15
2018-01-16-14,1,1,16
2018-01-16-15,1,1,8
2018-01-16-16,1,1,7
2018-01-16-17,1,1,12
2018-01-16-18,1,1,15
2018-01-16-19,1,1,35
2018-01-16-20,1,1,40
2018-01-16-21,1,1,28
2018-01-16-22,1,1,23
2018-01-16-23,1,1,22
2018-01-17-00,1,1,26
2018-01-17-01,1,1,29
2018-01-17-02,1,1,28
2018-01-17-03,1,1,35
2018-01-17-04,1,1,35
2018-01-17-05,1,1,37
2018-01-17-06,1,1,38
2018-01-17-07,1,1,46
2018-01-17-08,1,1,41
2018-01-17-09,1,1,48
2018-01-17-10,1,1,45
2018-01-17-11,1,1,45
2018-01-17-12,1,1,35
2018-01-17-13,1,1,26
2018-01-17-14,1,1,18
2018-01-17-15,1,1,10
2018-01-17-16,1,1,6
2018-01-17-17,1,1,12
2018-01-17-18,1,1,27
2018-01-17-19,1,1,42
2018-01-17-20,1,1,46
2018-01-17-21,1,1,33
2018-01-17-22,1,1,26
2018-01-17-23,1,1,20
2018-01-18-00,1,1,15
2018-01-18-01,1,1,17
2018-01-18-02,1,1,19
2018-01-18-03,1,1,19
2018-01-18-04,1,1,19
2018-01-18-05,1,1,19
2018-01-18-06,1,1,16
2018-01-18-07,1,1,15
2018-01-18-08,1,1,23
2018-01-18-09,1,1,18
2018-01-18-10,1,1,21
2018-01-18-11,1,1,15
2018-01-18-12,1,1,13
2018-01-18-13,1,1,13
2018-01-18-14,1,1,8
2018-01-18-15,1,1,8
2018-01-18-16,1,1,2
2018-01-18-17,1,1,6
2018-01-18-18,1,1,11
2018-01-18-19,1,1,18
2018-01-18-20,1,1,27
2018-01-18-21,1,1,16
2018-01-18-22,1,1,13
2018-01-18-23,1,1,13
2018-01-19-00,1,1,13
2018-01-19-01,1,1,10
2018-01-19-02,1,1,13
2018-01-19-03,1,1,11
2018-01-19-04,1,1,16
2018-01-19-05,1,1,11
2018-01-19-06,1,1,16
2018-01-19-07,1,1,15
2018-01-19-08,1,1,15
2018-01-19-09,1,1,17
2018-01-19-10,1,1,16
2018-01-19-11,1,1,16
2018-01-19-12,1,1,16
2018-01-19-13,1,1,13
2018-01-19-14,1,1,7
2018-01-19-15,1,1,6
2018-01-19-16,1,1,8
2018-01-19-17,1,1,9
2018-01-19-18,1,1,13
2018-01-19-19,1,1,23
2018-01-19-20,1,1,34
2018-01-19-21,1,1,19
2018-01-19-22,1,1,20
2018-01-19-23,1,1,16
2018-01-20-00,1,1,13
2018-01-20-01,1,1,12
2018-01-20-02,1,1,14
2018-01-20-03,1,1,10
2018-01-20-04,1,1,13
2018-01-20-05,1,1,16
2018-01-20-06,1,1,19
2018-01-20-07,1,1,16
2018-01-20-08,1,1,18
2018-01-20-09,1,1,23
2018-01-20-10,1,1,23
2018-01-20-11,1,1,20
2018-01-20-12,1,1,14
2018-01-20-13,1,1,12
2018-01-20-14,1,1,8
2018-01-20-15,1,1,7
2018-01-20-16,1,1,5
2018-01-20-17,1,1,4
2018-01-20-18,1,1,7
2018-01-20-19,1,1,13
2018-01-20-20,1,1,19
2018-01-20-21,1,1,21
2018-01-20-22,1,1,28
2018-01-20-23,1,1,21
2018-01-21-00,1,1,22
2018-01-21-01,1,1,24
2018-01-21-02,1,1,22
2018-01-21-03,1,1,22
2018-01-21-04,1,1,20
2018-01-21-05,1,1,19
2018-01-21-06,1,1,16
2018-01-21-07,1,1,15
2018-01-21-08,1,1,24
2018-01-21-09,1,1,15
2018-01-21-10,1,1,13
2018-01-21-11,1,1,20
2018-01-21-12,1,1,12
2018-01-21-13,1,1,10
2018-01-21-14,1,1,8
2018-01-21-15,1,1,9
2018-01-21-16,1,1,4
2018-01-21-17,1,1,5
2018-01-21-18,1,1,6
2018-01-21-19,1,1,7
2018-01-21-20,1,1,16
2018-01-21-21,1,1,20
2018-01-21-22,1,1,25
2018-01-21-23,1,1,24
2018-01-22-00,1,1,23
2018-01-22-01,1,1,23
2018-01-22-02,1,1,23
2018-01-22-03,1,1,22
2018-01-22-04,1,1,21
